Country,Africa-sub-regions,Male,Female,Urban,Rural
Algeria,Northern Africa,93,94, 95 , 91 
Angola,Southern Africa,53,49, 64 , 21 
Benin,Western Africa,51,44, 58 , 41 
Burkina Faso,Western Africa,32,29, 58 , 21 
Burundi,Central Africa,46,54, 70 , 47 
Cameroon,Central Africa,67,64, 81 , 49 
Central African Republic,Central Africa,54,33, 62 , 27 
Chad,Central Africa,31,24, 53 , 19 
Comoros,Eastern Africa,75,77, 86 , 71 
Congo,Central Africa,78,82, 90 , 55 
C̫te d'Ivoire,Western Africa,60,53, 70 , 39 
Democratic Republic of the Congo,Central Africa,71,66, 86 , 57 
Egypt,Northern Africa,91,92, 93 , 90 
Ethiopia,Eastern Africa,51,51, 82 , 43 
Gabon,Central Africa,57,67, 68 , 25 
Gambia,Western Africa,56,57, 72 , 41 
Ghana,Western Africa,64,68, 76 , 57 
Guinea,Western Africa,58,49, 74 , 35 
Guinea-Bissau,Western Africa,33,26, 48 , 11 
Kenya,Eastern Africa,77,82, 87 , 76 
Lesotho,Southern Africa,60,83, 87 , 65 
Liberia,Western Africa,36,33, 44 , 15 
Malawi,Southern Africa,43,52, 73 , 43 
Mali,Western Africa,50,41, 75 , 36 
Mauritania,Northern Africa,64,56, 69 , 51 
Mozambique,Southern Africa,43,37, 64 , 25 
Namibia,Southern Africa,75,86, 89 , 74 
Niger,Western Africa,35,24, 61 , 19 
Nigeria,Western Africa,81,79, 93 , 73 
Rwanda,Eastern Africa,48,61, 68 , 51 
Sao Tome and Principe,Central Africa,79,86, 85 , 77 
Senegal,Western Africa,48,51, 65 , 37 
Sierra Leone,Western Africa,63,65, 83 , 45 
South Africa,Southern Africa,95,98, 97 , 95 
South Sudan,Eastern Africa,30,18, 38 , 18 
Sudan,Eastern Africa,71,73, 88 , 64 
Eswatini,Southern Africa,52,68, 79 , 55 
Togo,Western Africa,66,59, 78 , 53 
Tunisia,Northern Africa,94,97, 97 , 91 
Uganda,Eastern Africa,33,36, 57 , 29 
United Republic of Tanzania,Eastern Africa,75,84, 89 , 74 
Zambia,Southern Africa,73,75, 88 , 62 
Zimbabwe,Southern Africa,87,89, 97 , 85 
